question , option1 , option2 , option3 , option4 , answer
WHICH WAS THE FIRST COUNTRY TO LAUNCH AN ARTIFICIAL SATELLITE IN SPACE? , Russia , Japan , USA , UK , Russia 
WHICH WAS THE FIRST COUNTRY TO HOST MODERN OLYMPICS? , Spain , Belguim , Greece , Italy , Greece 
GURU GOPI KRISHNA IS A MAESTRO OF WHICH OF THE FOLLOWING? , Kuchipudi , Kathak , Bharatnatayam , Manipuri , Kathak 
WHICH UN BODY DEALS WITH THE POPULATION PROBLEM? , UNFPA , UNDP , UNICEF , UNESCO , UNFPA 
HOW MANY COUNTRIES ARE THE 'FOUNDING MEMBERS' OF THE UNITED NATIONS? , 45 , 50 , 51 , 75 , 51 
WHICH IS THE LARGEST TROPICAL RAINFOREST IN THE WORLD? , Amazon , Bosawas , Southeast Asian Rainforest , Daintree Rain forest , Amazon 
WHICH RIVER FLOWS THROUGH THE GRAND CANYON (USA)? , Missouri , Colorado , Mississippi , Yukon , Colorado 
WHERE IS THE WORLD'S HIGHEST ALTITUDE CIVILIAN AIRPORT? , China , Leh , Japan , Germany , China 
WHEN DID HONG KONG BECOME A PART OF CHINA? , 1982 , 1989 , 1995 , 1997 , 1997 
WHICH IS THE BIGGEST ISLAND IN THE WORLD? , Borneo , Finland , Sumantra , Greenland , Greenland 
WHICH MOUNTAIN IS CALLED THE ROOF OF THE WORLD? , Andes , Himalaya , Karakoram , Pamir , Pamir 
TOTAL NUMBER OF OCEANS IN THE WORLD IS: , 3 , 5 , 7 , 12 , 5 
WHICH CONTINENT HAS THE HIGHEST NUMBER OF COUNTRIES? , Asia , Europe , North America , Africa , Africa 
IN WHICH COUNTRY IS THE WHITE ELEPHANT FOUND? , India , Thailand , Sri Lanka , Malaysia , Thailand 
WHO WAS THE FIRST FEMALE PRESIDENT OF THE UN GENERAL ASSEMBLY? , Sarijini Naidu , Vijay Laxmi Pandit , Indra Gandhi , Anpanman Sen , Vijay Laxmi Pandit 
WHICH IS THE FIRST SPACECRAFT TO REACH MARS? , Viking-1 , Vikrant-1 , Shelter , Magway , Viking-1 
WHICH CHARITY ENTERED THE GUINNESS BOOK OF WORLD RECORDS? , United Methodist Committee on Relief , PCT Humanity , GiveIndia Charity , Saint Camillus Foundation , PCT Humanity 
LOK SABHA ELECTIONS WERE HELD IN HOW MANY CONSTITUENCIES? , 542 , 543 , 544 , 545 , 542 
WHICH STATE'S 26 RESERVOIRS HAVE HIT 'ZERO WATER' STORAGE LEVEL? , Karnataka , Maharashtra , West Bengal , Telangana , Maharashtra 
LIBRA NETWORKS LLC IN GENEVA IS THE NEW SECRETIVE CRYPTOCURRENCY FIRM OF: , Whatsapp Messenger , Twitter , Facebook , Instagram , Facebook 
WHICH OF THE FOLLOWING STATE HAS BEEN LEVIED 1% CALAMITY CESS? , Odisha , Gujarat , Kerela , Uttarakhand , Kerela 
WHO HAS SWORN-IN AS THE CHIEF MINISTER OF ANDHRA PRADESH? , E.S.L. Narasimhan , Koramutla Sreenivasulu , N. Chandrababu Naidu , YS Jaganmohan Reddy , YS Jaganmohan Reddy 
